temp,hum,soil,light,rain,Density
23.0,51.0,0,0,0
23.0,51.0,362,362,402
23.1,51.0,343,362,404
23.0,51.0,360,362,402
23.0,51.0,353,362,404
23.0,51.0,348,361,403
23.0,51.0,361,362,404
23.0,51.0,343,362,404
23.0,51.0,357,362,402
23.0,51.0,350,362,404
23.0,51.0,346,362,403
23.0,52.0,363,361,404
23.1,51.0,343,361,404
23.1,51.0,358,361,403
23.0,51.0,351,362,404
23.1,51.0,346,361,403
23.1,51.0,359,361,404
23.1,52.0,342,361,404
23.1,51.0,357,361,402
23.2,51.0,352,362,403
23.1,51.0,348,361,404
23.2,51.0,360,361,405
23.5,50.0,342,362,404
23.6,50.0,358,362,403
23.3,49.0,349,361,405
23.8,49.0,346,361,403
23.4,49.0,359,362,404
23.5,50.0,341,361,403
23.5,50.0,357,362,403
23.4,50.0,349,361,403
23.4,50.0,347,361,404
23.4,50.0,359,361,403
23.4,50.0,341,362,404
23.3,50.0,357,362,403
23.4,50.0,348,362,403
23.4,50.0,347,361,403
23.2,50.0,358,361,403
23.3,50.0,341,361,404
23.3,51.0,358,362,403
23.2,50.0,348,361,403
23.3,51.0,347,361,404
23.3,50.0,359,361,403
23.2,50.0,340,361,404
23.3,51.0,358,361,403
23.3,50.0,347,361,403
23.3,51.0,347,361,403
23.2,50.0,358,361,403
23.3,50.0,340,361,403
23.2,50.0,358,361,403
23.3,51.0,347,361,404
23.2,51.0,348,361,404
23.3,51.0,360,361,404
23.2,50.0,342,361,404
23.2,51.0,359,361,403
23.3,51.0,347,361,403
23.2,51.0,348,361,403
23.2,51.0,358,361,404
23.3,51.0,340,361,403
23.3,51.0,358,361,404
23.2,51.0,347,361,403
23.3,52.0,348,361,402
23.3,52.0,358,361,403
24.0,50.0,340,361,402
24.0,50.0,358,361,403
23.8,49.0,347,361,403
23.7,49.0,348,361,404
23.8,50.0,357,360,404
23.8,50.0,340,361,402
23.8,50.0,358,361,404
23.7,50.0,347,360,404
23.7,50.0,348,361,404
23.7,50.0,357,361,402
23.7,50.0,340,361,403
23.7,50.0,358,360,402
23.7,50.0,346,360,402
23.7,50.0,348,360,404
23.7,50.0,357,361,403
23.7,50.0,340,360,402
23.7,50.0,358,361,403
23.7,50.0,348,360,403
